"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\025 (AMERICAN KIDS) American Kids.mp4","025 (AMERICAN KIDS) American Kids.mp4","025 (AMERICAN KIDS) American Kids","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\025 (AMERICAN KIDS) American Kids.mp4",".mp4","7465242","2025-03-03T19:17:38.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\035 (BAD) Bad, Bad Leroy Brown (Live).mp4","035 (BAD) Bad, Bad Leroy Brown (Live).mp4","035 (BAD) Bad, Bad Leroy Brown (Live)","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\035 (BAD) Bad, Bad Leroy Brown (Live).mp4",".mp4","6274845","2025-03-03T19:17:38.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\044 (BILL'S BASIC) Winter Wonderland.mp4","044 (BILL'S BASIC) Winter Wonderland.mp4","044 (BILL'S BASIC) Winter Wonderland","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\044 (BILL'S BASIC) Winter Wonderland.mp4",".mp4","7634326","2025-03-03T19:17:40.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\050 (BLACK COFFEE) Some Town Somewhere.mp4","050 (BLACK COFFEE) Some Town Somewhere.mp4","050 (BLACK COFFEE) Some Town Somewhere","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\050 (BLACK COFFEE) Some Town Somewhere.mp4",".mp4","6588750","2025-03-03T19:17:44.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\051 (BLACK COFFEE) The Salt in My Tears.mp4","051 (BLACK COFFEE) The Salt in My Tears.mp4","051 (BLACK COFFEE) The Salt in My Tears","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\051 (BLACK COFFEE) The Salt in My Tears.mp4",".mp4","6553457","2025-03-03T19:17:44.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\052 (BLACK COFFEE) Undone.mp4","052 (BLACK COFFEE) Undone.mp4","052 (BLACK COFFEE) Undone","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\052 (BLACK COFFEE) Undone.mp4",".mp4","7343633","2025-03-03T19:17:44.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\078 (CHANGING DANCE - BARN DANCE) Dance the Night Away.mp4","078 (CHANGING DANCE - BARN DANCE) Dance the Night Away.mp4","078 (CHANGING DANCE - BARN DANCE) Dance the Night Away","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\078 (CHANGING DANCE - BARN DANCE) Dance the Night Away.mp4",".mp4","10141046","2025-03-03T19:17:52.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\090 (CHEYENNE) Mamma mia (He's italiano).mp4","090 (CHEYENNE) Mamma mia (He's italiano).mp4","090 (CHEYENNE) Mamma mia (He's italiano)","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\090 (CHEYENNE) Mamma mia (He's italiano).mp4",".mp4","7859202","2025-03-03T19:18:40.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\093 (CHEYENNE) The Big One.mp4","093 (CHEYENNE) The Big One.mp4","093 (CHEYENNE) The Big One","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\093 (CHEYENNE) The Big One.mp4",".mp4","4909631","2025-03-03T19:18:46.000Z"
"C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY","2026-08-11T13:06:09.480Z","1BASE\095 (CHEYENNE) White Christmas.mp4","095 (CHEYENNE) White Christmas.mp4","095 (CHEYENNE) White Christmas","C:\Users\Luca\Music\MUSICA DJ MONSTER LUCAS BERRY\1BASE\095 (CHEYENNE) White Christmas.mp4",".mp4","6998587","2025-03-03T19:18:48.000Z"
