Colonna 1,Colonna 2,ID,coreografia,brano,autore,richieste,info livello,info coreo 1,info coreo 2,studiate,coreografo,collaboratori,descrizione coreo
,,144,DOCTOR DOCTOR,bad case of loving you,robert palmer,2,INTERMEDIO,,,,Masters in Line,,80 conteggi 4 muri [1 restart 4°muro dopo 32 counts] [1 Tag 5°muro dopo 32 counts]
,,145,DON'T DRINK THE WATHER,don't drink the wather,brad paisley,4,ALTRE COREO
,,146,DON'T MAKE ME BEG,don't make me beg,steve holy,4,SUPER AVANZATO 1+2,,,,,,2 muri  frasata Parte A (32 counts) B (32 counts ) C (32 counts) SEQUENZA    A A B B C A A B B C C C A B B C C C
,,147,DOUBLE DUTCH,some beach,blake shelton,2,ALTRE COREO,COPPIA,CERCHIO
,,148,DRIVEN,driven,casey james,4,ALTRE COREO
,,149,DUTY FREE,natural disaster,zac brown band,2,AVANZATO 2,,,,Esther & José,,A 20c B 38c C 16c 1muro [A BB A BB(24) CCC BB(24)]
,,150,EASY COME EASY GO,hillbilly rock hillibilly roll,die campbell,2,ALTRE COREO
,,151,EASY TWIST,anyone can play,gle campbell,2,ALTRE COREO
,,152,EASY WAY,just be you,billy yates,2,ALTRE COREO
,,153,EIGHT SECOND RIDE,eight second ride,jake owen,4,ALTRE COREO
,,154,ELECTRIC SLIDE,achy breaky heart,billy ray,10,BASE,,,,Ric Silvern,,14 conteggi 2 muri
,,155,ELECTRIC SLIDE,jingle bell rock,rascal flatts,10,BASE,NATALIZIA,,,Ric Silvern,,14 conteggi 2 muri
,,156,ELECTRIC SLIDE,let me be there,nathan carter,10,BASE,,,,Ric Silvern,,14 conteggi 2 muri
,,157,ELECTRIC STOMP,long road to nashville,the woolpackers,4,ALTRE COREO,,,,,,24 conteggi 4 muri
,,158,ENDLESS,less and less,travis tritt,2,ALTRE COREO
,,159,EVERY STAR,even the stars fall for you,keith urban,2,ALTRE COREO,COPPIA
,,160,FAKE ID,fake id,big & rich,4,SUPER AVANZATO 1+2
,,161,FEEL THE MOMENT,walla walla prison,scotty alexander,2,SUPER AVANZATO 1+2,,,,David Villelas
,,162,FIFTY TWO BEERS AGO,beers ago,toby keith,2,INTERMEDIO,,,,Séverine Fillion,,32 conteggi 4 muri (Restart al 5° muro dopo 24 conteggi)
,,163,FIGHT,fight!,lee dewyze,4,AVANZATO 2,,,,Teo Lattanzio,,Intro 8 tempi (A32 B16 Tag1 44 Tag2 24) 2 muri [AA Tag1 AAAA BB Tag2 A BBB B Final]
,,164,FINE,fine,the abrams,4,ALTRE COREO
,,165,FIREBALL,fireball,pitbull,4,ALTRE COREO
,,166,FIRST STOMP,cotton eyed joe,rednex,4,BASE,STAGE,,,Emma D'Adamo,,16 conteggi 4 muri
