"rootPath","scannedAt","relativePath","fileName","baseName","fullPath","extension","size","modifiedAt"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(IRISH STEW) Cowboy Yodel Song.mp3","(IRISH STEW) Cowboy Yodel Song.mp3","(IRISH STEW) Cowboy Yodel Song","C:\VSC_MP3\(IRISH STEW) Cowboy Yodel Song.mp3",".mp3","3703033","2026-08-25T11:41:57.383Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(IRISH STEW) Irish stew.mp3","(IRISH STEW) Irish stew.mp3","(IRISH STEW) Irish stew","C:\VSC_MP3\(IRISH STEW) Irish stew.mp3",".mp3","7096926","2026-08-25T11:41:57.435Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(LINDI SHUFFLE)I Need More of You.mp3","(LINDI SHUFFLE)I Need More of You.mp3","(LINDI SHUFFLE)I Need More of You","C:\VSC_MP3\(LINDI SHUFFLE)I Need More of You.mp3",".mp3","5025916","2026-08-25T11:41:57.475Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(LONELY DRUM) Lonely Drum.mp3","(LONELY DRUM) Lonely Drum.mp3","(LONELY DRUM) Lonely Drum","C:\VSC_MP3\(LONELY DRUM) Lonely Drum.mp3",".mp3","5340597","2026-08-25T11:41:57.517Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(P3) Take It or Break It.mp3","(P3) Take It or Break It.mp3","(P3) Take It or Break It","C:\VSC_MP3\(P3) Take It or Break It.mp3",".mp3","4781473","2026-08-25T11:41:57.553Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(REDNECK ANGEL) Brighter Than the Sun.mp3","(REDNECK ANGEL) Brighter Than the Sun.mp3","(REDNECK ANGEL) Brighter Than the Sun","C:\VSC_MP3\(REDNECK ANGEL) Brighter Than the Sun.mp3",".mp3","5721818","2026-08-25T11:41:57.597Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(REDNECK ANGEL) Merry Go Round (The JaneDear Girls).mp3","(REDNECK ANGEL) Merry Go Round (The JaneDear Girls).mp3","(REDNECK ANGEL) Merry Go Round (The JaneDear Girls)","C:\VSC_MP3\(REDNECK ANGEL) Merry Go Round (The JaneDear Girls).mp3",".mp3","3142650","2026-08-25T11:41:57.625Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(REDNEK ANGEL) - Nickelback - If Today Was Your Last Day.mp3","(REDNEK ANGEL) - Nickelback - If Today Was Your Last Day.mp3","(REDNEK ANGEL) - Nickelback - If Today Was Your Last Day","C:\VSC_MP3\(REDNEK ANGEL) - Nickelback - If Today Was Your Last Day.mp3",".mp3","5999980","2026-08-25T11:41:57.667Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(START THE CAR-DOUBLE DUTCH) - Limes.mp3","(START THE CAR-DOUBLE DUTCH) - Limes.mp3","(START THE CAR-DOUBLE DUTCH) - Limes","C:\VSC_MP3\(START THE CAR-DOUBLE DUTCH) - Limes.mp3",".mp3","9512729","2026-08-25T11:41:57.836Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(START THE CAR) Gord Bamford - Farm Girl Strong.mp3","(START THE CAR) Gord Bamford - Farm Girl Strong.mp3","(START THE CAR) Gord Bamford - Farm Girl Strong","C:\VSC_MP3\(START THE CAR) Gord Bamford - Farm Girl Strong.mp3",".mp3","2739846","2026-08-25T11:41:57.694Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia.mp3","(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia.mp3","(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia","C:\VSC_MP3\(START THE CAR) Jimmy Wayne - Kerosene Kid-Start the car copia.mp3",".mp3","5038851","2026-08-25T11:41:57.730Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(START THE CAR) Travis Tritt- Start The Car.mp3","(START THE CAR) Travis Tritt- Start The Car.mp3","(START THE CAR) Travis Tritt- Start The Car","C:\VSC_MP3\(START THE CAR) Travis Tritt- Start The Car.mp3",".mp3","4020361","2026-08-25T11:41:57.764Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(THREE TEACHERS) Head Over Heels Jeff Mix 4.mp3","(THREE TEACHERS) Head Over Heels Jeff Mix 4.mp3","(THREE TEACHERS) Head Over Heels Jeff Mix 4","C:\VSC_MP3\(THREE TEACHERS) Head Over Heels Jeff Mix 4.mp3",".mp3","4709851","2026-08-25T11:41:57.872Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(TUSH PUSH) Be My Baby Tonight.mp3","(TUSH PUSH) Be My Baby Tonight.mp3","(TUSH PUSH) Be My Baby Tonight","C:\VSC_MP3\(TUSH PUSH) Be My Baby Tonight.mp3",".mp3","4149414","2026-08-25T11:41:57.908Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(TUSH PUSH) Don_t Know Why I Do It.mp3","(TUSH PUSH) Don_t Know Why I Do It.mp3","(TUSH PUSH) Don_t Know Why I Do It","C:\VSC_MP3\(TUSH PUSH) Don_t Know Why I Do It.mp3",".mp3","4128453","2026-08-25T11:41:57.941Z"
"C:\VSC_MP3","2026-08-28T16:18:41.772Z","(TUSH PUSH) Honky Tonk Twist.mp3","(TUSH PUSH) Honky Tonk Twist.mp3","(TUSH PUSH) Honky Tonk Twist","C:\VSC_MP3\(TUSH PUSH) Honky Tonk Twist.mp3",".mp3","5104242","2026-08-25T11:41:57.981Z"
